ID,Loan no,Latitude,Longitude,State,Area,Branch,Status,DPD,Disbursal date,Product,Asset_Colleteral_Value,Carpet Area(SQFT),Year
1,LXLAX03424-250044813,28.6093,77.4454,NCR,NCR,Laxmi Nagar,A,0,20-11-2024 00:00,BL,5544000,792,2024
2,LXNOI02924-250042571,28.595117,77.307161,NCR,NCR,Noida,A,0,29-09-2024 00:00,HL,2599600,1800,2024
3,LXYMN02824-250041806,30.13223,77.266,HR,A - 1 Chandigarh,Yamuna Nagar,A,0,17-09-2024 00:00,LAP,1475996,441,2024
4,LXDEW02924-250041904,22.766861,76.300611,MP,A - 1 Indore,Dewas,A,8,19-09-2024 00:00,HL,2565000,675,2024
5,LXRJP03624-250043303,30.356873,76.478328,HR,A - 1 Chandigarh,Rajpura,C,21,18-10-2024 00:00,STBL,2256794,2718,2024
6,LXHRD04224-250042677,29.901354,78.095432,UK & UP,A - 1 Dehradun,Haridwar,A,0,30-09-2024 00:00,STBLP,3269500,865,2024
7,LXGUN04224-250042214,24.645645,77.346535,MP,A - 2 Bhopal,Guna,A,8,24-09-2024 00:00,STBLP,1375000,625,2024
8,LXIND01224-250042371,22.557674,75.801757,MP,A - 1 Indore,Indore-2,A,0,27-09-2024 00:00,HL,1827500,675,2024
9,LXMEE04124-250041945,28.9592,77.66668,NCR,NCR,Meerut,A,0,19-09-2024 00:00,STBLP,1007100,373,2024
10,LXJHL02924-250041748,24.34648,76.430192,RJ-UP-3,A - 7 Kota,Jhalawar,A,0,14-09-2024 00:00,HL,843200,544,2024
11,LXSHP03324-250042782,25.723677,74.738156,RJ-UP-2,A - 4 Bhilwara,Shahpura,A,0,30-09-2024 00:00,BL,1320000,600,2024
12,LXHIS03624-250041613,28.9446,75.822,HR,A - 2 Rohtak,Hissar,A,0,09-11-2024 00:00,STBL,636280,434,2024
13,LXFZB03224-250041876,26.5538,81.8414,UK & UP,A - 2 Kanpur,Faizabad,A,0,18-09-2024 00:00,BL,2660000,760,2024
14,LXBWN02824-250041838,28.7882,76.1125,HR,A - 2 Rohtak,Bhiwani,A,3,18-09-2024 00:00,LAP,4282812,1552,2024
15,LXLAX02924-250042809,28.62554,77.400867,NCR,NCR,Laxmi Nagar,C,20,30-09-2024 00:00,HL,2565000,450,2024
16,LXRAT02924-250042247,22.730345,74.438119,MP,A - 1 Indore,Ratlam,A,0,25-09-2024 00:00,HL,1326900,1011,2024
17,LXJPR02924-250041696,26.958028,75.884389,RJ-UP-1,A - 1 Jaipur,Jaipur,A,0,13-09-2024 00:00,HL,1092000,455,2024
18,LXKTH02824-250041814,29.806973,76.412431,HR,A - 1 Chandigarh,Kaithal,A,0,17-09-2024 00:00,LAP,2287000,1125,2024
19,LXKRN01124-250041698,29.671602,77.0213308,HR,A - 1 Chandigarh,Karnal,A,0,13-09-2024 00:00,HL,1924100,486,2024
20,LXCHD01124-250042478,30.778237,76.789382,HR,A - 1 Chandigarh,Chandigarh,C,20,28-09-2024 00:00,HL,2093970,540,2024
21,LXSAH01224-250042656,28.619303,77.40816,NCR,NCR,Sahibabad,A,0,29-09-2024 00:00,HL,1598400,540,2024
22,LXSIR02924-250042225,24.967297,72.628201,RJ-UP-3,A - 5 Jodhpur,Sirohi,A,0,24-09-2024 00:00,HL,1875000,1250,2024
23,LXSKR02924-250041737,26.930948,75.892643,RJ-UP-1,A - 2 Jaipur 2,Sikar Road,A,0,14-09-2024 00:00,HL,1795839,704,2024
24,LXHLD02424-250041550,29.024,79.32089,UK & UP,A - 1 Dehradun,Haldwani,C,0,09-09-2024 00:00,LAP,1137500,990,2024
25,LXSIK03424-250041667,27.608598,75.139936,RJ-UP-1,A - 2 Jaipur 2,Sikar,A,3,09-12-2024 00:00,BL,5904000,144,2024
26,LXBML03224-250042087,24.754062,71.778931,RJ-UP-3,A - 5 Jodhpur,Bhinmal,A,0,20-09-2024 00:00,BL,4560000,1200,2024
27,LXJOD03624-250042821,26.323573,73.06744,RJ-UP-3,A - 5 Jodhpur,Jodhpur,A,0,30-09-2024 00:00,STBL,1600000,800,2024
28,LXKAN01224-250042461,26.545218,80.272719,UK & UP,A - 2 Kanpur,Kanpur,C,0,28-09-2024 00:00,HL,1104600,450,2024
29,LXKND02924-250042355,21.97153,76.699942,MP,A - 1 Indore,Khandwa,A,0,26-09-2024 00:00,HL,2340000,1800,2024
30,LXSAN02924-250041871,22.194917,76.109944,MP,A - 1 Indore,Sanawad,A,0,18-09-2024 00:00,HL,1336400,1118,2024
31,LXFAR03624-250041624,28.359229,77.275014,NCR,NCR,Faridabad,A,0,09-12-2024 00:00,STBL,1270800,360,2024
32,LXMHB04124-250042177,16.774528,77.867111,Telangana,A - 1 Hyderabad,Mahbubnagar,A,3,23-09-2024 00:00,STBLP,2011100,1935,2024
33,LXHSN04124-250041896,22.757444,77.8815,MP,A - 2 Bhopal,Hoshangabad,A,8,19-09-2024 00:00,STBLP,1090000,2000,2024
34,LXNOI02924-250041866,28.5298,77.441,NCR,NCR,Noida,A,0,18-09-2024 00:00,HL,3240000,900,2024
